;CAMPUS;Grao;FACULTADE;CANTIDAD;UNIVERSIDAD
0;OURENSE;Graduado en Ciencia y Tecnología de los Alimentos;Facultade de Ciencias;148;UVIGO
1;OURENSE;Graduado en Ciencias Ambientales;Facultade de Ciencias;194;UVIGO
2;OURENSE;Graduado en Ingeniería Agraria;Facultade de Ciencias;65;UVIGO
3;OURENSE;Graduado en Geografía e Historia;Facultade de Historia;407;UVIGO
4;OURENSE;Graduado en Derecho;Facultade de Dereito;210;UVIGO
5;OURENSE;PCEO Grao en Administración e Dirección de Empresas/Grao en Dereito; Facultade de Dereito;109;UVIGO
6;OURENSE;Graduado en Administración y Dirección de Empresas;Facultade de Ciencias Empresariais e Turismo;424;UVIGO
7;OURENSE;Graduado en Turismo;Facultade de Ciencias Empresariais e Turismo;179;UVIGO
8;OURENSE;PCEO Grao en Turismo/Grao en Xeografía e Historia;Facultade de Ciencias Empresariais e Turismo;36;UVIGO
9;OURENSE;Graduado en Educación Infantil;Facultade de Educación e Traballo Social;613;UVIGO
10;OURENSE;Graduado en Educación Primaria;Facultade de Educación e Traballo Social;415;UVIGO
11;OURENSE;Graduado en Educación Social;Facultade de Educación e Traballo Social;328;UVIGO
12;OURENSE;Graduado en Trabajo Social;Facultade de Educación e Traballo Social;355;UVIGO
13;OURENSE;Grao en Enxeñaría Informática; Escola Superior de Enxeñaría Informática;1496;UVIGO
14;OURENSE;PCEO Grao en Administración e Dirección de Empresas/Grao en Enxeñaría Informática;Escola Superior de Enxeñaría Informática;39;UVIGO
15;OURENSE;Graduado en Ingeniería Aeroespacial; Escola de Enxeñaría Aeronáutica e do Espazo;636;UVIGO
16;OURENSE;Graduado en Enfermería; Escola Universitaria de Enfermaría de Ourense;216;UVIGO
17;OURENSE;Graduado en Bellas Artes; Facultade de Belas Artes;213;UVIGO
18;PONTEVEDRA;Graduado en Ciencias de la Actividad Física y del Deporte; Facultade de Ciencias da Educación e do Deporte;508;UVIGO
19;PONTEVEDRA;Graduado en Educación Infantil; Facultade de Ciencias da Educación e do Deporte;352;UVIGO
20;PONTEVEDRA;Graduado en Educación Primaria; Facultade de Ciencias da Educación e do Deporte;386;UVIGO
21;PONTEVEDRA;Graduado en Ingeniería Forestal;Escola de Enxeñaría Forestal;1245;UVIGO
22;PONTEVEDRA;Graduado en Publicidad y Relaciones Públicas; Facultade de Ciencias Sociais e da Comunicación;126;UVIGO
23;PONTEVEDRA;Grao en Comunicación Audiovisual;Facultade de Ciencias Sociais e da Comunicación;185;UVIGO
24;PONTEVEDRA;Grao en Dirección e Xestión Pública; Facultade de Ciencias Sociais e da Comunicación;169;UVIGO
25;PONTEVEDRA;Grao en Fisioterapia;Facultade de Fisioterapia;789;UVIGO
26;PONTEVEDRA;Graduado en Enfermería;Escola Universitaria de Enfermaría da Deputación Provincial de Pontevedra;236;UVIGO
27;PONTEVEDRA;Grao en Enxeñaría Mecánica;Centro Universitario da Defensa da Escola Naval Militar de Marín  ;207;UVIGO
28;PONTEVEDRA;Graduado en Ciencias del Lenguaje y Estudios Literarios;Facultade de Filoloxía e Tradución;353;UVIGO
29;VIGO;Graduado en Traducción e Interpretación;Facultade de Filoloxía e Tradución;453;UVIGO
30;VIGO;Grao en Filoloxía Aplicada Galega e Española;Facultade de Filoloxía e Tradución;25;UVIGO
31;VIGO;Grao en Linguas Estranxeiras;Facultade de Filoloxía e Tradución;220;UVIGO
32;VIGO;Grao en Bioloxía;Facultade de Bioloxía;757;UVIGO
33;VIGO;Graduado en Administración y Dirección de Empresas; Facultade de Ciencias Económicas e Empresariais;357;UVIGO
34;VIGO;Graduado en Economía;Facultade de Ciencias Económicas e Empresariais;289;UVIGO
35;VIGO;PCEO Grao en Administración e Dirección de Empresas/Grao en Dereito;Facultade de Ciencias Económicas e Empresariais;226;UVIGO
36;VIGO;Grao en Enxeñaría de Tecnoloxías de Telecomunicación; Escola de Enxeñaría de Telecomunicación;1464;UVIGO
37;VIGO;Graduado en Comercio;Facultade de Comercio;612;UVIGO
38;VIGO;Graduado en Derecho;Facultade de Ciencias Xurídicas e do Traballo;353;UVIGO
39;VIGO;Graduado en Relaciones Laborales y Recursos Humanos;Facultade de Ciencias Xurídicas e do Traballo;356;UVIGO
40;VIGO;Grao en Enxeñaría da Enerxía; Escola de Enxeñaría de Minas e Enerxía;760;UVIGO
41;VIGO;Grao en Enxeñaría dos Recursos Mineiros e Enerxéticos; Escola de Enxeñaría de Minas e Enerxía;61;UVIGO
42;VIGO;Graduado en Ciencias del Mar; Facultade de Ciencias do Mar;242;UVIGO
43;VIGO;Graduado en Química; Facultade de Química;287;UVIGO
44;VIGO;Graduado en Ingeniería Biomédica; Escola de Enxeñaría Industrial;265;UVIGO
